"Country","Year","CountryCode","Region","IncomeGroup","Injuries","Communicable","NonCommunicable","Co2emissions","Treeloss","ExpansionSum","Meatsum","Forest_Tonsum","LifeExpectancy","Undernourishment"
"Afghanistan",2001,"AFG","South Asia","Low income",2179727.1,9689193.7,5795426.38,24035.5217707112,91.6859172949197,216834,278743.34,83747,56.308,47.8479926488974
"Afghanistan",2002,"AFG","South Asia","Low income",1946983.65,9858324.98,5871595.71,41638.922318897,189.703346177078,238246,304321.2,86790,56.784,45.4962433429378
"Afghanistan",2003,"AFG","South Asia","Low income",1992263.52,9157600.44,6166298.79,49366.326810226,253.285065081468,219998,298619.03,89943,57.271,40.7241473294193
"Afghanistan",2004,"AFG","South Asia","Low income",2050765.02,8791000.56,6315336.43,34118.8872703953,207.39641192513,228874,322976.88,93211,57.772,38.1510597442582
"Afghanistan",2005,"AFG","South Asia","Low income",2157481.76,8555405.22,6353575.08,42484.1201148941,246.1925101967,210597,318614.72,96598,58.29,35.956413890703
"Afghanistan",2006,"AFG","South Asia","Low income",2353206.39,8223377.95,6340825.63,24077.368392781,159.046776967663,223714,272400,99572,58.826,33.3003243173849
"Afghanistan",2007,"AFG","South Asia","Low income",2500614.3,7912950.31,6337948.29,42886.1224292723,258.695224593662,227331,267240,102639,59.375,29.8312433893025
"Afghanistan",2008,"AFG","South Asia","Low income",2451785.56,7759400.78,6334855.52,19446.8044012242,111.889898423086,210751,294060,105799,59.93,26.5702239907007
"Afghanistan",2009,"AFG","South Asia","Low income",2397829.51,7555498.66,6346743.24,14303.3863180732,74.0539306957411,213345,304340,109057,60.484,23.3349921181764
"Afghanistan",2010,"AFG","South Asia","Low income",2498918.49,7326163.85,6443903.94,15133.1831623227,94.3412617012283,188008,328160,112415,61.028,21.278318791958
"Afghanistan",2011,"AFG","South Asia","Low income",2540038.63,7181018.86,6539124.12,19874.7209275435,116.187109573218,163579,335664,115646,61.553,20.1158611597904
"Afghanistan",2012,"AFG","South Asia","Low income",2715550.23,7036448.02,6640268.93,9284.13856631287,41.0481894887847,176004,330600,118969,62.054,21.1564820559426
"Afghanistan",2013,"AFG","South Asia","Low income",2807904.86,6813189.19,6799914.37,389.72294717084,2.21429639979818,199160,322110,122388,62.525,20.7560635575879
"Afghanistan",2014,"AFG","South Asia","Low income",3267937.78,6649335.87,6900348.4,838.637337874552,3.72131048673177,205582,311019.7,125905,62.966,20.6065803320114
"Albania",2001,"ALB","Europe & Central Asia","Upper middle income",117081.67,140894.78,532324.75,1380882.82583121,3816.0403443067,235173,66672.86,7000,74.288,4.89172785458397
"Albania",2002,"ALB","Europe & Central Asia","Upper middle income",111169.56,128986.61,544332.18,341655.062001166,909.096630452086,244945,71800.1,16900,74.579,6.1238278325418
"Albania",2003,"ALB","Europe & Central Asia","Upper middle income",106457.8,118886.92,564357.62,181527.739564443,636.459186146871,234842,76203.11,60700,74.828,7.48880298557012
"Albania",2004,"ALB","Europe & Central Asia","Upper middle income",102317.3,108336.45,570380.53,1371162.94065835,3327.91218411088,240006,80206.71,60700,75.039,8.5587120483915
"Albania",2005,"ALB","Europe & Central Asia","Upper middle income",94241.87,99241.18,568930.66,279802.993393692,719.182405152396,261585,82109.47,60700,75.228,8.87281060225399
"Albania",2006,"ALB","Europe & Central Asia","Upper middle income",89182.27,90917.84,557300.83,427683.396759684,986.789408394668,271643,91003.24,60700,75.423,8.81621213505622
"Albania",2007,"ALB","Europe & Central Asia","Upper middle income",86920.57,83150.85,548036.71,1643570.53347355,5347.68720682879,291130,102790.07,60000,75.646,8.26553331253535
"Albania",2008,"ALB","Europe & Central Asia","Upper middle income",86437.79,78053.44,555768.28,1838008.36118246,5608.77966369836,304046,88918.03,60000,75.912,7.31145167799416
"Albania",2009,"ALB","Europe & Central Asia","Upper middle income",80509.96,72799.63,556687.48,578825.408723506,1378.77369783833,332369,90221.15,60000,76.221,6.32793285591575
"Albania",2010,"ALB","Europe & Central Asia","Upper middle income",81439.75,68800.04,560636.42,284420.981057582,680.130447593939,354473,91440,60000,76.562,5.78779616626097
"Albania",2011,"ALB","Europe & Central Asia","Upper middle income",80572.2,66856.83,571613.21,356158.876428973,1256.64875769106,362900,93340,60000,76.914,5.4054509911087
"Albania",2012,"ALB","Europe & Central Asia","Upper middle income",80941.92,64252.13,578042.75,2125708.81215512,5699.47092339122,372257,93900,61200,77.252,5.11184395464826
"Albania",2013,"ALB","Europe & Central Asia","Upper middle income",79780.26,61591.37,584989.5,942594.544421952,2842.39871851613,380935,95734,68900,77.554,5.01745069556613
"Albania",2014,"ALB","Europe & Central Asia","Upper middle income",80269.4,59159.9,595449.46,471921.390931997,1182.06598103917,376000,87641.83,82900,77.813,4.9788191675294
"Albania",2015,"ALB","Europe & Central Asia","Upper middle income",80908.83,57284.75,607281.32,126128.353893942,333.777074176862,376682,90448.7,83900,78.025,4.88912521121815
"Albania",2016,"ALB","Europe & Central Asia","Upper middle income",81528.11,55750.85,614034.75,358584.369588236,1108.33677504345,374923,91007.25,108000,78.194,4.70800295520029
"Algeria",2001,"DZA","Middle East & North Africa","Lower middle income",1608318.07,2111100.61,5443142.91,1034201.20067946,3695.95739753367,225361,529886.6,704809,71.116,7.96615987308918
"Algeria",2002,"DZA","Middle East & North Africa","Lower middle income",1553845.31,2069327.59,5508249.32,901668.587975039,3143.86359156924,274852,547787,695407,71.605,7.28043622358187
"Algeria",2003,"DZA","Middle East & North Africa","Lower middle income",1599531.45,2034126.11,5571735.84,1182592.762517,3951.14021705309,294544,562905.56,710154,72.101,6.99212077673424
"Algeria",2004,"DZA","Middle East & North Africa","Lower middle income",1414013.92,1992477.02,5660686.24,1316101.7248219,4557.57839032432,305041,574927.7,732459,72.594,7.010108920888
"Algeria",2005,"DZA","Middle East & North Africa","Lower middle income",1366864.54,1966546.31,5744011.18,1379527.81301564,4667.20162163759,311672,576092.25,744132,73.072,6.70623103629853
"Algeria",2006,"DZA","Middle East & North Africa","Lower middle income",1344806.33,1946060.11,5829040.2,1723247.65192407,5644.55664620742,370922,585992.06,756300,73.521,6.42050096463781
"Algeria",2007,"DZA","Middle East & North Africa","Lower middle income",1340810.58,1923742.87,5916938.5,1664662.50378971,5417.65732195201,420728,590327.06,768707,73.936,5.90560688936733
"Algeria",2008,"DZA","Middle East & North Africa","Lower middle income",1306605.92,1903289.33,6011211.82,2667957.14302602,8294.73035601911,367883,584018.06,781358,74.311,5.59255245275006
"Algeria",2009,"DZA","Middle East & North Africa","Lower middle income",1291012.47,1893227.66,6111864.09,3584224.34491801,10842.0479767111,402712,609104.9,794258,74.644,5.07652742273613
"Algeria",2010,"DZA","Middle East & North Africa","Lower middle income",1246848.01,1869500.26,6219718.07,861678.294820545,2727.77824871849,356782,612775.1,807411,74.938,4.30867803693005
"Algeria",2011,"DZA","Middle East & North Africa","Lower middle income",1242386.26,1848694.18,6345217.75,2832779.28388257,8611.37244392265,449666,667710.8,816680,75.199,3.78913018260164
"Algeria",2012,"DZA","Middle East & North Africa","Lower middle income",1230346.36,1822766.32,6466706.55,3820109.75275816,11855.7404284166,570180,690858,834074,75.436,3.1858048831302
"Algeria",2013,"DZA","Middle East & North Africa","Lower middle income",1222810.78,1813987.84,6603616.61,2623131.3140668,8508.202293979,433745,720168.75,853596,75.661,3.01013574277828
"Algeria",2014,"DZA","Middle East & North Africa","Lower middle income",1220395.16,1808593,6752637.69,3316880.45094569,11455.4854178949,419943,731206.06,865247,75.878,2.90012906626226
"Algeria",2015,"DZA","Middle East & North Africa","Lower middle income",1209097.11,1779055.15,6890763.97,2179619.90994981,6875.08866664627,489249,751657.6,875029,76.09,2.81085396066925
"Algeria",2016,"DZA","Middle East & North Africa","Lower middle income",1184780.1,1716609.07,7007974.48,3053530.41615625,9425.42884317562,641534,781044.06,884530,76.298,2.81221106483612
"Angola",2001,"AGO","Sub-Saharan Africa","Lower middle income",1392080.71,11190210.53,2663516.34,39709144.0737069,119564.086897829,223275,153000.14,212770,47.059,67.4631593538577
"Angola",2002,"AGO","Sub-Saharan Africa","Lower middle income",1218390.06,11126180.82,2725500.21,21738597.4007809,72801.8935180507,236631,160697.2,220768,47.702,63.0034306462518
"Angola",2003,"AGO","Sub-Saharan Africa","Lower middle income",1204475.81,11059687.49,2817017.06,18587358.28857,68661.8103291006,220526,163872.64,229067,48.44,58.6486656264233
"Angola",2004,"AGO","Sub-Saharan Africa","Lower middle income",1272980.01,10920209.2,2951780.84,25006665.8449893,97997.795949662,227478,144783.75,237678,49.263,55.2333864384025
"Angola",2005,"AGO","Sub-Saharan Africa","Lower middle income",1257995.96,10778976.02,3009696.38,32623245.4485523,133591.686105842,219218,159022.47,246612,50.165,52.2605885467193
"Angola",2006,"AGO","Sub-Saharan Africa","Lower middle income",1261954.18,10718718.62,3088844.29,26987894.2158565,107426.654831581,241600,166024.02,255347,51.143,49.1968621099186
"Angola",2007,"AGO","Sub-Saharan Africa","Lower middle income",1274747.56,10310598.25,3162603.6,58741716.7722465,217437.177980726,267528,180306.81,264400,52.177,45.8823363049263
"Angola",2008,"AGO","Sub-Saharan Africa","Lower middle income",1268731.11,9964158.73,3248453.77,39333191.4535622,157661.831972297,331140,194198.22,273757,53.243,42.9119809398449
"Angola",2009,"AGO","Sub-Saharan Africa","Lower middle income",1261180.24,9690114.79,3327472.94,69765215.0663268,271114.465990492,334314,204508.9,283454,54.311,33.0560736329622
"Angola",2010,"AGO","Sub-Saharan Africa","Lower middle income",1267430.98,9369345.53,3427812.06,58607770.7682446,197659.189815636,338597,217026.66,293494,55.35,23.7901762331822
"Angola",2011,"AGO","Sub-Saharan Africa","Lower middle income",1263108.34,9114917.42,3506251.22,75699325.0553558,287249.145012874,316390,229545,303601,56.33,16.4498257341022
"Angola",2012,"AGO","Sub-Saharan Africa","Lower middle income",1245939.46,8866604.66,3590872.46,71938774.7434376,252333.430791211,251778,242975,314056,57.236,15.127575935733
"Angola",2013,"AGO","Sub-Saharan Africa","Lower middle income",1215812.93,8611584.35,3654037.29,74189655.6606516,262774.726663284,315282,260595,324871,58.054,14.3670648703429
"Angola",2014,"AGO","Sub-Saharan Africa","Lower middle income",1182079.97,8309452.09,3692435.18,89129937.3504034,295202.420792259,319616,274424,336058,58.776,13.6866769864712
"Angola",2015,"AGO","Sub-Saharan Africa","Lower middle income",1176597.19,8056503.17,3778744.4,69615105.224423,225771.76884296,322455,287163.1,347630,59.398,14.5433007996029
"Angola",2016,"AGO","Sub-Saharan Africa","Lower middle income",1151526.25,7928961.23,3845106.11,101005780.25363,329692.046782149,307902,298273.6,358427,59.925,15.4764417171796
"Argentina",2001,"ARG","Latin America & Caribbean","Upper middle income",1397676.07,1507068.98,8070909.52,33440877.5365217,160343.382577779,749237,3843194.2,4653000,73.755,3.0138960499285
"Argentina",2002,"ARG","Latin America & Caribbean","Upper middle income",1399269.32,1557396.78,8194861.85,25537803.818625,110522.326055263,726618,3562104,4527000,73.932,3.79770826479916
"Argentina",2003,"ARG","Latin America & Caribbean","Upper middle income",1364894.64,1571267.73,8275119.93,50341364.1398702,268465.167474897,751111,3757198.5,4981000,74.107,4.51689545288401
"Argentina",2004,"ARG","Latin America & Caribbean","Upper middle income",1322976.39,1516113.41,8238572.94,88156539.3047635,458169.74728914,763223,4271528,5588000,74.28,4.01894555650416
"Argentina",2005,"ARG","Latin America & Caribbean","Upper middle income",1325638.99,1447163.21,8238762.03,80417299.3249545,383841.713017012,777656,4562923,6201000,74.451,3.71332547081234
"Argentina",2006,"ARG","Latin America & Caribbean","Upper middle income",1347931.57,1436963.34,8304714.97,73227500.62987,328051.070425598,757819,4661674,5705000,74.62,3.39808352414014
"Argentina",2007,"ARG","Latin America & Caribbean","Upper middle income",1366995.79,1485470.99,8478942.88,88008188.6619357,440262.650451057,773658,4948836,5606000,74.787,3.2888616539023
"Argentina",2008,"ARG","Latin America & Caribbean","Upper middle income",1394355.56,1486938.26,8473323.55,133845695.673447,608414.426982819,761281,4997075,6299000,74.952,3.31642236500781
"Argentina",2009,"ARG","Latin America & Caribbean","Upper middle income",1398097.29,1490845.69,8554280.25,70894000.9931367,316430.481529881,738804,5357214.5,5524000,75.116,3.20446817710051
"Argentina",2010,"ARG","Latin America & Caribbean","Upper middle income",1401304.9,1493603.73,8651598.48,96123932.0076683,420835.303918041,780246,4721922.5,5220000,75.278,3.09582364028986
"Argentina",2011,"ARG","Latin America & Caribbean","Upper middle income",1420669.31,1490301.03,8739679.99,111867845.23882,511198.5422465,771960,4781299,4981000,75.439,2.88800867243047
"Argentina",2012,"ARG","Latin America & Caribbean","Upper middle income",1443818.05,1471872.18,8820699,116106178.29792,487422.415594592,761457,5017726,4584000,75.598,2.8010534383518
"Argentina",2013,"ARG","Latin America & Caribbean","Upper middle income",1458094.44,1487174.67,8906865.36,96600549.5572163,387826.231246163,761989,5344253,4842000,75.756,2.58751865923924
"Argentina",2014,"ARG","Latin America & Caribbean","Upper middle income",1443221.24,1492330.31,8969158.26,63159273.0341833,249772.831371908,770127,5237481.5,4888180,75.913,2.50733650913819
"Argentina",2015,"ARG","Latin America & Caribbean","Upper middle income",1424177.46,1474333.51,9112348.45,50166295.1644736,186231.948886723,785309,5485180.5,4831000,76.068,2.5035808757002
"Argentina",2016,"ARG","Latin America & Caribbean","Upper middle income",1437579.67,1493347.53,9356521.8,61842962.13111,239283.053069159,788364,5396171.5,5482000,76.221,2.61050115996188
"Armenia",2001,"ARM","Europe & Central Asia","Upper middle income",103371.75,122238.13,767916.19,40440.6307616905,135.56823490546,174795,48372.53,2200,71.8,26.1409119609139
"Armenia",2002,"ARM","Europe & Central Asia","Upper middle income",98830.06,115370.74,774712.2,52142.190500173,175.737277921178,184071,50256.04,4000,72.112,24.5988828700008
"Armenia",2003,"ARM","Europe & Central Asia","Upper middle income",94756.4,110954.82,784556.42,130886.966536168,401.110001145273,220436,52684.22,4000,72.348,21.0409165669389
"Armenia",2004,"ARM","Europe & Central Asia","Upper middle income",92640.12,107986.46,783356.25,25966.6829522014,86.2080347716862,246716,53456.34,4000,72.513,15.9864346693706
"Armenia",2005,"ARM","Europe & Central Asia","Upper middle income",92659.79,105444.38,793047.77,30977.781976625,105.424857069631,229403,56023.78,7236,72.626,12.330269834978
"Armenia",2006,"ARM","Europe & Central Asia","Upper middle income",93356.64,104959.6,802931.28,40053.7590157211,132.748708304128,211316,66813.95,39998,72.716,9.28081963909485
"Armenia",2007,"ARM","Europe & Central Asia","Upper middle income",92994.89,98901.2,796328.81,17684.5566933961,58.4884066496463,263818,69713.3,52714,72.815,6.91379381344343
"Armenia",2008,"ARM","Europe & Central Asia","Upper middle income",91654.04,97242.98,803568.89,35624.7436394969,116.388895992207,266842,70904.06,11800,72.946,5.59383813075364
